School_Name,School_Type,Longitude,Latitude,Address_Town,Address_Postcode,Region_Name,LGA_Name,LGA_ID
Lyndale Secondary College,Secondary,145.20671,-37.95876,Dandenong North,3175,SOUTH-EASTERN VICTORIA,Greater Dandenong (C),267
Bindjiroo Yaluk Community School,Secondary,145.00226,-37.81648,Richmond,3121,NORTH-WESTERN VICTORIA,Yarra (C),735
Maffra Secondary College,Secondary,146.98242,-37.96489,Maffra,3860,SOUTH-EASTERN VICTORIA,Wellington (S),681
Mansfield Secondary College,Secondary,146.08856,-37.06268,Mansfield,3722,NORTH-EASTERN VICTORIA,Mansfield (S),425
Maribyrnong College,Secondary,144.88823,-37.77931,Maribyrnong,3032,SOUTH-WESTERN VICTORIA,Maribyrnong (C),433
Matthew Flinders Girls Secondary College,Secondary,144.35321,-38.14959,Geelong,3220,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
Melbourne High School,Secondary,144.99531,-37.83683,South Yarra,3141,SOUTH-EASTERN VICTORIA,Stonnington (C),635
Melton Secondary College,Secondary,144.56822,-37.68175,Melton,3337,SOUTH-WESTERN VICTORIA,Melton (C),465
Mentone Girls Secondary College,Secondary,145.0535,-37.98018,Mentone,3194,SOUTH-EASTERN VICTORIA,Kingston (C),343
Mickleham Secondary College,Secondary,144.90194,-37.52738,Mickleham,3064,NORTH-WESTERN VICTORIA,Hume (C),327
Mildura Senior College,Secondary,142.14539,-34.198,Mildura,3500,NORTH-WESTERN VICTORIA,Mildura (RC),478
Mirboo North Secondary College,Secondary,146.14882,-38.40018,Mirboo North,3871,SOUTH-EASTERN VICTORIA,South Gippsland (S),617
Monbulk College,Secondary,145.42781,-37.88318,Monbulk,3793,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Montmorency Secondary College,Secondary,145.11361,-37.71408,Montmorency,3094,NORTH-WESTERN VICTORIA,Banyule (C),66
Mooroolbark College,Secondary,145.31423,-37.77508,Mooroolbark,3138,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
