School_Name,School_Type,Longitude,Latitude,Address_Town,Address_Postcode,Region_Name,LGA_Name,LGA_ID
Werribee Primary School,Primary,144.65874,-37.90687,Werribee,3030,SOUTH-WESTERN VICTORIA,Wyndham (C),726
Winters Flat Primary School,Primary,144.20749,-37.07016,Castlemaine,3450,NORTH-WESTERN VICTORIA,Mount Alexander (S),543
Wooragee Primary School,Primary,146.73088,-36.29048,Wooragee,3747,NORTH-EASTERN VICTORIA,Indigo (S),335
Wallan Primary School,Primary,144.97504,-37.41146,Wallan,3756,NORTH-EASTERN VICTORIA,Mitchell (S),485
Woolsthorpe Primary School,Primary,142.43176,-38.18741,Woolsthorpe,3276,SOUTH-WESTERN VICTORIA,Moyne (S),549
Yandoit Primary School,Primary,144.08844,-37.214,Yandoit,3461,SOUTH-WESTERN VICTORIA,Hepburn (S),291
Yarram Primary School,Primary,146.67532,-38.55853,Yarram,3971,SOUTH-EASTERN VICTORIA,Wellington (S),681
Pleasant Street Primary School (Ballarat),Primary,143.8385,-37.55633,Lake Wendouree,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Yea Primary School,Primary,145.4283,-37.21273,Yea,3717,NORTH-EASTERN VICTORIA,Murrindindi (S),562
Lancefield Primary School,Primary,144.72642,-37.27495,Lancefield,3435,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
Coimadai Primary School,Primary,144.47831,-37.61379,Coimadai,3340,SOUTH-WESTERN VICTORIA,Moorabool (S),515
Birregurra Primary School,Primary,143.78651,-38.34046,Birregurra,3242,SOUTH-WESTERN VICTORIA,Colac-Otway (S),175
Clayton North Primary School,Primary,145.12267,-37.91194,Clayton,3168,NORTH-EASTERN VICTORIA,Monash (C),497
Milawa Primary School,Primary,146.43248,-36.44454,Milawa,3678,NORTH-EASTERN VICTORIA,Wangaratta (RC),670
Lockwood Primary School,Primary,144.16156,-36.80258,Lockwood,3551,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Bealiba Primary School,Primary,143.5519,-36.78994,Bealiba,3475,NORTH-WESTERN VICTORIA,Central Goldfields (S),167
Bairnsdale Primary School,Primary,147.62323,-37.82742,Bairnsdale,3875,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
Gordon Primary School,Primary,144.10505,-37.58385,Gordon,3345,SOUTH-WESTERN VICTORIA,Moorabool (S),515
Hepburn Primary School,Primary,144.13276,-37.30972,Hepburn,3461,SOUTH-WESTERN VICTORIA,Hepburn (S),291
Lara Lake Primary School,Primary,144.39564,-38.0304,Lara Lake,3212,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
Rosedale Primary School,Primary,146.7739,-38.1546,Rosedale,3847,SOUTH-EASTERN VICTORIA,Wellington (S),681
Bright P-12 College,Pri/Sec,146.96093,-36.7331,Bright,3741,NORTH-EASTERN VICTORIA,Alpine (S),11
Rochester Primary School,Primary,144.698,-36.3546,Rochester,3561,NORTH-WESTERN VICTORIA,Campaspe (S),137
Ararat Primary School,Primary,142.93731,-37.28594,Ararat,3377,SOUTH-WESTERN VICTORIA,Ararat (RC),26
Jamieson Primary School,Primary,146.14,-37.30126,Jamieson,3723,NORTH-EASTERN VICTORIA,Mansfield (S),425
Preston South Primary School,Primary,145.00745,-37.74787,Preston,3072,NORTH-WESTERN VICTORIA,Darebin (C),189
Omeo Primary School,Primary,147.59308,-37.10022,Omeo,3898,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
Harrietville Primary School,Primary,147.06494,-36.88771,Harrietville,3741,NORTH-EASTERN VICTORIA,Alpine (S),11
Mordialloc Beach Primary School,Primary,145.08881,-38.00558,Mordialloc,3195,SOUTH-EASTERN VICTORIA,Kingston (C),343
Healesville Primary School,Primary,145.51604,-37.65713,Healesville,3777,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Lake Bolac College,Pri/Sec,142.8379,-37.72024,Lake Bolac,3351,SOUTH-WESTERN VICTORIA,Ararat (RC),26
Toongabbie Primary School,Primary,146.62518,-38.05697,Toongabbie,3856,SOUTH-EASTERN VICTORIA,Latrobe (C),381
Waubra Primary School,Primary,143.63446,-37.35384,Waubra,3352,SOUTH-WESTERN VICTORIA,Pyrenees (S),599
Great Western Primary School,Primary,142.85173,-37.14851,Great Western,3374,SOUTH-WESTERN VICTORIA,Northern Grampians (S),581
Maffra Primary School,Primary,146.97677,-37.964,Maffra,3860,SOUTH-EASTERN VICTORIA,Wellington (S),681
Broken Creek Primary School,Primary,145.88923,-36.42328,Broken Creek,3673,NORTH-EASTERN VICTORIA,Benalla (RC),101
Lal Lal Primary School,Primary,144.01071,-37.67672,Lal Lal,3352,SOUTH-WESTERN VICTORIA,Moorabool (S),515
Cobden Primary School,Primary,143.07812,-38.32712,Cobden,3266,SOUTH-WESTERN VICTORIA,Corangamite (S),183
St Leonards Primary School,Primary,144.71475,-38.17184,St Leonards,3223,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
Lilydale Primary School,Primary,145.35407,-37.75367,Lilydale,3140,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Bendigo Primary School,Primary,144.26524,-36.75702,Bendigo,3550,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Darraweit Guim Primary School,Primary,144.89357,-37.40103,Darraweit Guim,3756,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
Linton Primary School,Primary,143.56131,-37.68407,Linton,3360,SOUTH-WESTERN VICTORIA,Golden Plains (S),249
Invermay Primary School,Primary,143.87458,-37.52053,Invermay,3352,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Mitta Mitta Primary School,Primary,147.37948,-36.53341,Mitta Mitta,3701,NORTH-EASTERN VICTORIA,Towong (S),667
Camberwell Primary School,Primary,145.05805,-37.83268,Camberwell,3124,NORTH-EASTERN VICTORIA,Boroondara (C),111
Greenvale Primary School,Primary,144.88618,-37.63983,Greenvale,3059,NORTH-WESTERN VICTORIA,Hume (C),327
Alexandra Primary School,Primary,145.7117,-37.19257,Alexandra,3714,NORTH-EASTERN VICTORIA,Murrindindi (S),562
Rockbank Primary School,Primary,144.6619,-37.73215,Rockbank,3335,SOUTH-WESTERN VICTORIA,Melton (C),465
Bannockburn P-12 College,Pri/Sec,144.16067,-38.042,Bannockburn,3331,SOUTH-WESTERN VICTORIA,Golden Plains (S),249
Doreen Primary School,Primary,145.14554,-37.60601,Doreen,3754,NORTH-WESTERN VICTORIA,Nillumbik (S),571
Talbot Primary School,Primary,143.7036,-37.16865,Talbot,3371,NORTH-WESTERN VICTORIA,Central Goldfields (S),167
Yarra Glen Primary School,Primary,145.37241,-37.6497,Yarra Glen,3775,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Kangaroo Flat Primary School,Primary,144.23409,-36.78768,Kangaroo Flat,3555,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Westmeadows Primary School,Primary,144.8957,-37.67565,Westmeadows,3049,NORTH-WESTERN VICTORIA,Hume (C),327
Sunbury Primary School,Primary,144.72814,-37.59769,Sunbury,3429,NORTH-WESTERN VICTORIA,Hume (C),327
Diamond Creek Primary School,Primary,145.15165,-37.67185,Diamond Creek,3089,NORTH-WESTERN VICTORIA,Nillumbik (S),571
Hesket Primary School,Primary,144.61978,-37.34781,Hesket,3442,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
Axedale Primary School,Primary,144.50146,-36.78623,Axedale,3551,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Vermont Primary School,Primary,145.1943,-37.83736,Vermont,3133,NORTH-EASTERN VICTORIA,Whitehorse (C),698
Tarnagulla Primary School,Primary,143.8284,-36.77126,Tarnagulla,3551,NORTH-WESTERN VICTORIA,Loddon (S),394
Balwyn Primary School,Primary,145.08138,-37.81394,Balwyn,3103,NORTH-EASTERN VICTORIA,Boroondara (C),111
Scoresby Primary School,Primary,145.2275,-37.89395,Scoresby,3179,NORTH-EASTERN VICTORIA,Knox (C),367
Carisbrook Primary School,Primary,143.81266,-37.05206,Carisbrook,3464,NORTH-WESTERN VICTORIA,Central Goldfields (S),167
Wandin Yallock Primary School,Primary,145.43595,-37.79025,Wandin North,3139,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Yering Primary School,Primary,145.38222,-37.70535,Yering,3770,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Dartmoor Primary School,Primary,141.27673,-37.92302,Dartmoor,3304,SOUTH-WESTERN VICTORIA,Glenelg (S),241
Mickleham Primary School,Primary,144.87655,-37.5635,Mickleham,3064,NORTH-WESTERN VICTORIA,Hume (C),327
Inglewood Primary School,Primary,143.87045,-36.57394,Inglewood,3517,NORTH-WESTERN VICTORIA,Loddon (S),394
Chewton Primary School,Primary,144.26116,-37.08233,Chewton,3451,NORTH-WESTERN VICTORIA,Mount Alexander (S),543
Bolinda Primary School,Primary,144.7454,-37.43373,Bolinda,3432,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
Napoleons Primary School,Primary,143.82646,-37.67863,Napoleons,3352,SOUTH-WESTERN VICTORIA,Golden Plains (S),249
Kew Primary School,Primary,145.03339,-37.80364,Kew,3101,NORTH-EASTERN VICTORIA,Boroondara (C),111
Haddon Primary School,Primary,143.72171,-37.58864,Haddon,3351,SOUTH-WESTERN VICTORIA,Golden Plains (S),249
Panmure Primary School,Primary,142.73253,-38.32935,Panmure,3265,SOUTH-WESTERN VICTORIA,Moyne (S),549
Sorrento Primary School,Primary,144.74069,-38.34148,Sorrento,3943,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
Alfredton Primary School,Primary,143.8021,-37.5548,Alfredton,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Bridgewater Primary School,Primary,143.94592,-36.6031,Bridgewater On Loddon,3516,NORTH-WESTERN VICTORIA,Loddon (S),394
Hastings Primary School,Primary,145.18947,-38.2997,Hastings,3915,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
Yackandandah Primary School,Primary,146.83646,-36.3121,Yackandandah,3749,NORTH-EASTERN VICTORIA,Indigo (S),335
Nagambie Primary School,Primary,145.15723,-36.78759,Nagambie,3608,NORTH-EASTERN VICTORIA,Strathbogie (S),643
Heyfield Primary School,Primary,146.78494,-37.98211,Heyfield,3858,SOUTH-EASTERN VICTORIA,Wellington (S),681
Moorabbin Primary School,Primary,145.03959,-37.94202,Moorabbin,3189,SOUTH-EASTERN VICTORIA,Kingston (C),343
Mansfield Primary School,Primary,146.08482,-37.05559,Mansfield,3722,NORTH-EASTERN VICTORIA,Mansfield (S),425
Middle Indigo Primary School,Primary,146.72484,-36.15601,Indigo Valley,3688,NORTH-EASTERN VICTORIA,Indigo (S),335
Briagolong Primary School,Primary,147.06784,-37.8428,Briagolong,3860,SOUTH-EASTERN VICTORIA,Wellington (S),681
Lindenow Primary School,Primary,147.45327,-37.80088,Lindenow,3865,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
Broadford Primary School,Primary,145.0463,-37.20257,Broadford,3658,NORTH-EASTERN VICTORIA,Mitchell (S),485
Murchison Primary School,Primary,145.21429,-36.61718,Murchison,3610,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Panton Hill Primary School,Primary,145.23956,-37.64161,Panton Hill,3759,NORTH-WESTERN VICTORIA,Nillumbik (S),571
Glen Park Primary School,Primary,143.9348,-37.52478,Glen Park,3352,SOUTH-WESTERN VICTORIA,Moorabool (S),515
Concongella Primary School,Primary,142.82232,-37.04956,CONCONGELLA,3384,SOUTH-WESTERN VICTORIA,Northern Grampians (S),581
Bruthen Primary School,Primary,147.83349,-37.70421,Bruthen,3885,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
Swan Hill Primary School,Primary,143.54325,-35.34691,Swan Hill,3585,NORTH-WESTERN VICTORIA,Swan Hill (RC),661
Porepunkah Primary School,Primary,146.91102,-36.69949,Porepunkah,3740,NORTH-EASTERN VICTORIA,Alpine (S),11
Leopold Primary School,Primary,144.46437,-38.18726,Leopold,3224,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
Inverleigh Primary School,Primary,144.05469,-38.10094,Inverleigh,3321,SOUTH-WESTERN VICTORIA,Golden Plains (S),249
Glen Iris Primary School,Primary,145.06589,-37.86048,Glen Iris,3146,NORTH-EASTERN VICTORIA,Boroondara (C),111
Trawalla Primary School,Primary,143.46986,-37.43773,Trawalla,3373,SOUTH-WESTERN VICTORIA,Pyrenees (S),599
Quarry Hill Primary School,Primary,144.27998,-36.77512,Quarry Hill,3550,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Sebastopol Primary School,Primary,143.84472,-37.59643,Sebastopol,3356,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Woodside Primary School,Primary,146.87674,-38.52633,Woodside,3874,SOUTH-EASTERN VICTORIA,Wellington (S),681
Noorat Primary School,Primary,142.92873,-38.19075,Noorat,3265,SOUTH-WESTERN VICTORIA,Corangamite (S),183
Albert Park Primary School,Primary,144.95277,-37.84188,Albert Park,3206,SOUTH-EASTERN VICTORIA,Port Phillip (C),590
Williamstown Primary School,Primary,144.90041,-37.8638,Williamstown,3016,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),311
Boneo Primary School,Primary,144.88711,-38.41198,Boneo,3939,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
Queenscliff Primary School,Primary,144.65621,-38.26722,Queenscliff,3225,SOUTH-WESTERN VICTORIA,Queenscliffe (B),608
Portland North Primary School,Primary,141.57233,-38.31764,Portland North,3305,SOUTH-WESTERN VICTORIA,Glenelg (S),241
Timor Primary School,Primary,143.71199,-36.98422,Timor,3465,NORTH-WESTERN VICTORIA,Central Goldfields (S),167
Apsley Primary School,Primary,141.08249,-36.97371,Apsley,3319,SOUTH-WESTERN VICTORIA,West Wimmera (S),689
Strathfieldsaye Primary School,Primary,144.35291,-36.80436,Strathfieldsaye,3551,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Skye Primary School,Primary,145.20124,-38.11771,Skye,3977,SOUTH-EASTERN VICTORIA,Frankston (C),217
Lucknow Primary School,Primary,147.63075,-37.81267,Eastwood,3875,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
Upper Plenty Primary School,Primary,145.05787,-37.42371,Upper Plenty,3756,NORTH-EASTERN VICTORIA,Mitchell (S),485
Carlton North Primary School,Primary,144.97303,-37.79106,Carlton North,3054,NORTH-WESTERN VICTORIA,Yarra (C),735
Maldon Primary School,Primary,144.06581,-36.99504,Maldon,3463,NORTH-WESTERN VICTORIA,Mount Alexander (S),543
Woori Yallock Primary School,Primary,145.53269,-37.77737,Woori Yallock,3139,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Moyston Primary School,Primary,142.76785,-37.30166,Moyston,3377,SOUTH-WESTERN VICTORIA,Ararat (RC),26
Buninyong Primary School,Primary,143.88625,-37.65423,Buninyong,3357,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Marysville Primary School,Primary,145.74894,-37.51198,Marysville,3779,NORTH-EASTERN VICTORIA,Murrindindi (S),562
Langley Primary School,Primary,144.48966,-37.17118,Langley,3444,NORTH-WESTERN VICTORIA,Mount Alexander (S),543
Wandong Primary School,Primary,145.02786,-37.3603,Wandong,3758,NORTH-EASTERN VICTORIA,Mitchell (S),485
Cowes Primary School,Primary,145.24131,-38.45628,Cowes,3922,SOUTH-EASTERN VICTORIA,Bass Coast (S),74
Bullarto Primary School,Primary,144.21822,-37.40538,Bullarto,3461,SOUTH-WESTERN VICTORIA,Hepburn (S),291
Lismore Primary School,Primary,143.3393,-37.9546,Lismore,3324,SOUTH-WESTERN VICTORIA,Corangamite (S),183
Lower Plenty Primary School,Primary,145.1155,-37.72617,Lower Plenty,3093,NORTH-WESTERN VICTORIA,Banyule (C),66
Specimen Hill Primary School,Primary,144.24834,-36.76187,Golden Square,3555,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Bolwarra Primary School,Primary,141.6138,-38.28161,Bolwarra,3305,SOUTH-WESTERN VICTORIA,Glenelg (S),241
Navarre Primary School,Primary,143.11134,-36.90074,Navarre,3384,SOUTH-WESTERN VICTORIA,Northern Grampians (S),581
Warracknabeal Primary School,Primary,142.39126,-36.25788,Warracknabeal,3393,SOUTH-WESTERN VICTORIA,Yarriambiack (S),763
Moyhu Primary School,Primary,146.38309,-36.59317,Moyhu,3732,NORTH-EASTERN VICTORIA,Wangaratta (RC),670
Natte Yallock Primary School,Primary,143.468,-36.94213,Natte Yallock,3465,SOUTH-WESTERN VICTORIA,Pyrenees (S),599
Clifton Hill Primary School,Primary,144.98925,-37.79231,Clifton Hill,3068,NORTH-WESTERN VICTORIA,Yarra (C),735
Christmas Hills Primary School,Primary,145.3042,-37.65352,Christmas Hills,3775,NORTH-WESTERN VICTORIA,Nillumbik (S),571
Tallangatta Primary School,Primary,147.1742,-36.2148,Tallangatta,3700,NORTH-EASTERN VICTORIA,Towong (S),667
Kialla Central Primary School,Primary,145.43115,-36.4527,Kialla,3631,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Mount Eliza Primary School,Primary,145.09219,-38.19539,Mount Eliza,3930,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
San Remo Primary School,Primary,145.36945,-38.52385,San Remo,3925,SOUTH-EASTERN VICTORIA,Bass Coast (S),74
Dimboola Primary School,Primary,142.0304,-36.45336,Dimboola,3414,SOUTH-WESTERN VICTORIA,Hindmarsh (S),298
Whorouly Primary School,Primary,146.58665,-36.50544,Whorouly,3735,NORTH-EASTERN VICTORIA,Wangaratta (RC),670
Merrijig Primary School,Primary,146.25688,-37.1028,Merrijig,3723,NORTH-EASTERN VICTORIA,Mansfield (S),425
Lethbridge Primary School,Primary,144.13456,-37.96906,Lethbridge,3332,SOUTH-WESTERN VICTORIA,Golden Plains (S),249
Oxley Primary School,Primary,146.36064,-36.44156,Oxley,3678,NORTH-EASTERN VICTORIA,Wangaratta (RC),670
Northcote Primary School,Primary,144.99688,-37.77176,Northcote,3070,NORTH-WESTERN VICTORIA,Darebin (C),189
North Melbourne Primary School,Primary,144.95064,-37.79873,North Melbourne,3051,SOUTH-WESTERN VICTORIA,Melbourne (C),460
Dandenong Primary School,Primary,145.21982,-37.98792,Dandenong,3175,SOUTH-EASTERN VICTORIA,Greater Dandenong (C),267
Malmsbury Primary School,Primary,144.38694,-37.18732,Malmsbury,3446,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
Williamstown North Primary School,Primary,144.89176,-37.8559,Williamstown,3016,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),311
Kerang Primary School,Primary,143.92114,-35.73169,Kerang,3579,NORTH-WESTERN VICTORIA,Gannawarra (S),225
Drouin West Primary School,Primary,145.87172,-38.08711,Drouin West,3818,SOUTH-EASTERN VICTORIA,Baw Baw (S),83
Meredith Primary School,Primary,144.07781,-37.84271,Meredith,3333,SOUTH-WESTERN VICTORIA,Golden Plains (S),249
Edi Upper Primary School,Primary,146.44881,-36.70647,Edi Upper,3678,NORTH-EASTERN VICTORIA,Wangaratta (RC),670
Eaglehawk North Primary School,Primary,144.23727,-36.70707,Eaglehawk,3556,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Mooroopna Primary School,Primary,145.36029,-36.39136,Mooroopna,3629,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Cairnlea Park Primary School,Primary,144.788,-37.75885,Cairnlea,3023,SOUTH-WESTERN VICTORIA,Brimbank (C),118
Ballan Primary School,Primary,144.2311,-37.60168,Ballan,3342,SOUTH-WESTERN VICTORIA,Moorabool (S),515
Mount Pleasant Primary School,Primary,143.85781,-37.57836,Ballarat,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Tatura Primary School,Primary,145.22992,-36.44497,Tatura,3616,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Toolamba Primary School,Primary,145.34418,-36.49052,Toolamba,3614,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Harston Primary School,Primary,145.14175,-36.46986,Tatura,3616,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Osbornes Flat Primary School,Primary,146.89257,-36.31716,Osbornes Flat,3691,NORTH-EASTERN VICTORIA,Indigo (S),335
Frankston Primary School,Primary,145.12403,-38.14756,Frankston,3199,SOUTH-EASTERN VICTORIA,Frankston (C),217
Donald Primary School,Primary,142.98463,-36.36721,Donald,3480,SOUTH-WESTERN VICTORIA,Buloke (S),127
Beveridge Primary School,Primary,144.97776,-37.47206,Beveridge,3753,NORTH-EASTERN VICTORIA,Mitchell (S),485
St Kilda Primary School,Primary,144.98902,-37.87022,St Kilda,3182,SOUTH-EASTERN VICTORIA,Port Phillip (C),590
Cape Clear Primary School,Primary,143.60821,-37.79196,Cape Clear,3351,SOUTH-WESTERN VICTORIA,Golden Plains (S),249
Warburton Primary School,Primary,145.7017,-37.7558,Warburton,3799,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Tallarook Primary School,Primary,145.10067,-37.09676,Tallarook,3659,NORTH-EASTERN VICTORIA,Mitchell (S),485
Barnawartha Primary School,Primary,146.67589,-36.10131,Barnawartha,3688,NORTH-EASTERN VICTORIA,Indigo (S),335
Fitzroy North Primary School,Primary,144.98415,-37.78502,Fitzroy North,3068,NORTH-WESTERN VICTORIA,Yarra (C),735
Ashby Primary School,Primary,144.3471,-38.13856,Geelong West,3218,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
Preston Primary School,Primary,145.01031,-37.73055,Preston,3072,NORTH-WESTERN VICTORIA,Darebin (C),189
Tooradin Primary School,Primary,145.37849,-38.20763,Tooradin,3980,SOUTH-EASTERN VICTORIA,Casey (C),161
Glenferrie Primary School,Primary,145.03397,-37.82405,Hawthorn,3122,NORTH-EASTERN VICTORIA,Boroondara (C),111
Elmore Primary School,Primary,144.60891,-36.4972,Elmore,3558,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Dookie Primary School,Primary,145.68279,-36.33107,Dookie,3646,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Brighton Primary School,Primary,145.00108,-37.91221,Brighton,3186,SOUTH-EASTERN VICTORIA,Bayside (C),91
Natimuk Primary School,Primary,141.9505,-36.74124,Natimuk,3409,SOUTH-WESTERN VICTORIA,Horsham (RC),319
Murtoa College,Pri/Sec,142.47574,-36.6235,Murtoa,3390,SOUTH-WESTERN VICTORIA,Yarriambiack (S),763
Big Hill Primary School,Primary,144.24247,-36.83058,Big Hill,3555,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Clunes Primary School,Primary,143.79211,-37.29075,Clunes,3370,SOUTH-WESTERN VICTORIA,Hepburn (S),291
Marnoo Primary School,Primary,142.87035,-36.67685,Marnoo,3387,SOUTH-WESTERN VICTORIA,Northern Grampians (S),581
Beechworth Primary School,Primary,146.69357,-36.35543,Beechworth,3747,NORTH-EASTERN VICTORIA,Indigo (S),335
Ardmona Primary School,Primary,145.31307,-36.38546,Ardmona,3629,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Kilmore Primary School,Primary,144.94752,-37.29577,Kilmore,3764,NORTH-EASTERN VICTORIA,Mitchell (S),485
Macarthur Primary School,Primary,142.00147,-38.03088,Macarthur,3286,SOUTH-WESTERN VICTORIA,Moyne (S),549
Barwon Heads Primary School,Primary,144.48704,-38.28119,Barwon Heads,3227,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
Keilor Primary School,Primary,144.8357,-37.7169,Keilor,3036,SOUTH-WESTERN VICTORIA,Brimbank (C),118
Dunolly Primary School,Primary,143.73358,-36.85155,Dunolly,3472,NORTH-WESTERN VICTORIA,Central Goldfields (S),167
Springhurst Primary School,Primary,146.4681,-36.18467,Springhurst,3682,NORTH-EASTERN VICTORIA,Wangaratta (RC),670
Trentham District Primary School,Primary,144.3281,-37.38797,Trentham,3458,SOUTH-WESTERN VICTORIA,Hepburn (S),291
Warrenheip Primary School,Primary,143.92743,-37.5741,Warrenheip,3352,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Maiden Gully Primary School,Primary,144.2097,-36.74419,Maiden Gully,3551,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Rupanyup Primary School,Primary,142.62861,-36.63222,Rupanyup,3388,SOUTH-WESTERN VICTORIA,Yarriambiack (S),763
Goornong Primary School,Primary,144.50468,-36.617,Goornong,3557,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Oakleigh Primary School,Primary,145.08862,-37.89447,Oakleigh,3166,NORTH-EASTERN VICTORIA,Monash (C),497
Ceres Primary School,Primary,144.26673,-38.17355,Ceres,3221,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
Malvern Central School,Primary,145.0344,-37.85601,Malvern,3144,SOUTH-EASTERN VICTORIA,Stonnington (C),635
Daylesford Primary School,Primary,144.14156,-37.3451,Daylesford,3460,SOUTH-WESTERN VICTORIA,Hepburn (S),291
Mooroopna North Primary School,Primary,145.29849,-36.32914,Mooroopna,3629,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Swan Reach Primary School,Primary,147.86479,-37.82108,Swan Reach,3903,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
Amphitheatre Primary School,Primary,143.39924,-37.18413,Amphitheatre,3468,SOUTH-WESTERN VICTORIA,Pyrenees (S),599
Deans Marsh Primary School,Primary,143.88575,-38.39988,Deans Marsh,3235,SOUTH-WESTERN VICTORIA,Surf Coast (S),649
Drysdale Primary School,Primary,144.57175,-38.16916,Drysdale,3222,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
St Arnaud Primary School,Primary,143.25754,-36.6102,St Arnaud,3478,SOUTH-WESTERN VICTORIA,Northern Grampians (S),581
Nullawarre and District Primary School,Primary,142.73443,-38.46676,Nullawarre,3268,SOUTH-WESTERN VICTORIA,Moyne (S),549
Macedon Primary School,Primary,144.56268,-37.41869,Macedon,3440,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
Arthurs Creek Primary School,Primary,145.2025,-37.579,Arthurs Creek,3099,NORTH-WESTERN VICTORIA,Nillumbik (S),571
Rye Primary School,Primary,144.82382,-38.37312,Rye,3941,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
Buxton Primary School,Primary,145.70905,-37.4214,Buxton,3711,NORTH-EASTERN VICTORIA,Murrindindi (S),562
Moonambel Primary School,Primary,143.32074,-36.98986,Moonambel,3478,SOUTH-WESTERN VICTORIA,Pyrenees (S),599
Longford Primary School,Primary,147.08841,-38.16956,Longford,3851,SOUTH-EASTERN VICTORIA,Wellington (S),681
Harkaway Primary School,Primary,145.34517,-38.00085,Harkaway,3806,SOUTH-EASTERN VICTORIA,Casey (C),161
Balnarring Primary School,Primary,145.12282,-38.37672,Balnarring,3926,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
Carraragarmungee Primary School,Primary,146.46086,-36.3289,Londrigan,3678,NORTH-EASTERN VICTORIA,Wangaratta (RC),670
Euroa Primary School,Primary,145.57208,-36.75596,Euroa,3666,NORTH-EASTERN VICTORIA,Strathbogie (S),643
Pyramid Hill College,Pri/Sec,144.11368,-36.04736,Pyramid Hill,3575,NORTH-WESTERN VICTORIA,Loddon (S),394
Shepparton East Primary School,Primary,145.47925,-36.39993,Shepparton East,3631,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Nicholson Primary School,Primary,147.74791,-37.81578,Nicholson,3882,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
Kialla West Primary School,Primary,145.38946,-36.46601,Kialla West,3631,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Miners Rest Primary School,Primary,143.7947,-37.47788,Miners Rest,3352,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Glenrowan Primary School,Primary,146.22234,-36.46019,Glenrowan,3675,NORTH-EASTERN VICTORIA,Wangaratta (RC),670
