,Suburb,Price_today,avg_future,Price_change (%)
103,SPRINGVALE,550.0,551.162603509967,0.21138245635763103
75,WEST BRUNSWICK,480.0,479.28012217694476,-0.1499745464698421
23,BOX HILL,600.0,597.0715594227074,-0.48807342954876276
18,SOUTHBANK,670.0,662.6407008248332,-1.0984028619651978
14,PRAHRAN-WINDSOR,550.0,543.7080581793016,-1.1439894219451658
94,WANTIRNA-SCORESBY,600.0,582.3537210343807,-2.9410464942698886
53,KEILOR EAST-AVONDALE HEIGHTS,550.0,533.7757120346334,-2.9498705391575557
0,ALBERT PARK-MIDDLE PARK-WEST ST KILDA,700.0,674.2217808565472,-3.682602734778974
33,HAWTHORN,530.0,505.1589383279673,-4.686992768308058
26,CAMBERWELL-GLEN IRIS,650.0,617.5108074186071,-4.998337320214293
17,SOUTH YARRA,600.0,568.8415309658986,-5.193078172350226
19,ST KILDA,550.0,506.5523160675506,-7.899578896808985
59,WERRIBEE-HOPPERS CROSSING,500.0,455.925025136594,-8.814994972681198
4,CBD-ST KILDA RD,650.0,589.9238894357856,-9.242478548340683
29,CLAYTON,600.0,536.4400025877719,-10.593332902038014
