,Suburb,apartment_price,Num_sales_units,unit_1bed_Rent_today,unit_1bed_unit_avg,unit_1bed_2025_avg,unit_1bed_2026_avg,unit_1bed_2027_avg,unit_1bed_2028_avg,unit_1bed_2029_avg,unit_1bed_2030_avg,unit_1bed_avg_future_rent,unit_1bed_Price_change (%),unit_2bed_Rent_today,unit_2bed_unit_avg,unit_2bed_2025_avg,unit_2bed_2026_avg,unit_2bed_2027_avg,unit_2bed_2028_avg,unit_2bed_2029_avg,unit_2bed_2030_avg,unit_2bed_avg_future_rent,unit_2bed_Price_change (%),unit_3bed_Rent_today,unit_3bed_unit_avg,unit_3bed_2025_avg,unit_3bed_2026_avg,unit_3bed_2027_avg,unit_3bed_2028_avg,unit_3bed_2029_avg,unit_3bed_2030_avg,unit_3bed_avg_future_rent,unit_3bed_Price_change (%),apartment_ALL_avg_price_change(%),apartment_ALL_future_rent,apartment_Annual ROI (%),apartment_5yr ROI (%)
25,BALWYN,696000,31,517.1790351572657,517.1790351572657,522.7258314074995,533.8628725312449,546.823201824693,,,,530.1477352301757,2.4462426623928404,599.6541421935163,599.6541421935163,609.7506994176974,628.4254707186831,647.8428584184815,664.6459249665904,680.7949297564603,692.5396403219481,646.2362379704825,7.208214742531023,802.2573378789683,802.2573378789683,805.9614047716585,813.3392510589016,820.8596125562453,831.2019310762421,844.6938002155897,854.2448592646921,824.6511709746139,2.7155522096912166,4.123336538205026,667.0117147250907,0.09583501648349003,0.47917508241745016
82,CAULFIELD,710000,17,486.40406322505606,486.40406322505606,490.2731114150066,502.83365293059194,523.5687696947512,532.6150114124354,548.3526619423225,556.8888688304498,520.1337342072304,6.484807418535146,599.3890536197744,599.3890536197744,601.2095966840861,609.5822458816051,624.5280724639433,640.3865410650271,656.3218871118019,666.2828465471518,628.2428919104842,4.592783883788234,811.4442022367756,811.4442022367756,826.4333231932578,851.3051850477744,878.8352802518059,903.0509706802263,925.8395154673685,939.7550685143012,876.6662207702159,7.439777761271324,6.172456354531568,675.0142822959768,0.09507243412619391,0.4753621706309696
109,CRAIGIEBURN,453500,60,279.4081390245366,279.4081390245366,279.4001865379089,,,,,,279.40416278122274,-0.0014231152729664053,461.7085001212725,461.7085001212725,466.5075126034569,475.93475795054457,488.3227636848787,500.66319262937327,508.3717053909401,,483.5847387300776,4.52376530042148,485.7467239201301,485.7467239201301,493.45415894687653,506.7255490825331,522.0520648469376,535.9812660538958,549.306967014003,557.496757901443,521.5376411094027,6.862576038258521,3.794972741135678,428.17551420690097,0.09441576939512701,0.47207884697563507
149,ESSENDON,575000,82,422.34700940944657,422.34700940944657,426.8703238908339,435.6800544138075,447.4647141569318,459.2565267435808,471.04946562702423,478.42016154552095,448.7268936838779,5.8788284468226255,501.00469036700105,501.00469036700105,503.341635252109,510.189973188954,521.3916542890773,533.6322157255872,546.239424930221,554.1893825501113,524.284139471866,4.440235237387746,612.934449637962,612.934449637962,616.7976200336012,639.5650237163452,650.1603432769325,667.855806881314,683.2363858367402,693.0165161995945,651.9380207974986,5.982711533195219,5.43392507246853,541.6496846510809,0.09419994515670972,0.4709997257835486
298,NORTH GEELONG,485000,3,328.4872932488028,328.4872932488028,336.71823312200684,353.18011286841494,375.12928586362574,397.07845885883654,419.02763185404734,432.74586497605407,377.48098297025547,12.979114692332258,423.5566130089825,423.5566130089825,424.48948827199484,434.46954954996977,446.20099946471174,457.8453334183035,469.50884178769036,476.7949714875403,447.5522567127419,5.361528926254714,517.7347292403791,517.7347292403791,523.3649360630994,534.5808985166886,549.5374081727684,564.4939414356381,573.8417747394616,,543.9256146946725,4.815159416420458,7.7186010116691435,456.31961812589,0.09408651920121443,0.4704325960060721
325,PRESTON,646300,100,432.5504613675753,432.5504613675753,432.2511271385323,429.5321736880311,434.29089325388065,446.20617109348296,458.7097643378481,466.5245101155764,442.86644299927536,2.329366289718402,535.0810411132372,535.0810411132372,548.0204448235488,561.8275580822757,577.5139483284489,593.2003385746222,608.8867288207954,618.6907227246537,577.6029689239402,7.361791766742523,702.2096073654502,702.2096073654502,718.9335458926005,748.0256479366898,780.885664684324,809.1359712558246,834.6072875614453,849.6730484445242,777.6386818772654,9.699758547211797,6.463638867890907,599.3693646001603,0.09273856794060968,0.4636928397030484
331,RINGWOOD,599000,92,426.59061514832814,426.59061514832814,431.6009173228109,432.62256027410956,445.49932516949485,457.865958012259,470.23259085502315,477.9617363817507,448.91052902339663,4.972018349319049,511.0159106089396,511.0159106089396,520.8560242944308,532.7484821394735,542.045989312496,557.3021130267273,580.1148742286697,594.8407700834534,548.4177376705985,6.819952108136218,630.2059584166439,630.2059584166439,632.4511285282003,645.470460678179,666.742396074281,685.4534294491954,702.684053609823,713.7710701424018,668.1112138426749,5.673494867421417,5.821821774958895,555.1464935122234,0.09267888038601392,0.4633944019300696
141,EAST MELBOURNE,840000,15,499.3376888673442,499.3376888673442,502.35498899895066,506.23829804754746,514.6664973802727,524.8940132340663,536.0294613938651,543.2363677004267,518.1081879460676,3.622891804342089,678.5464680065397,678.5464680065397,693.6083215567501,705.9853427228921,722.2610782497536,737.5328580696658,752.5446040964398,761.8993405216497,721.7682876033845,5.988323446623268,1021.61231172564,1021.61231172564,1052.2509890575811,1070.3829105165185,1095.32765334407,1120.6347794847904,1146.060327838551,1162.0544619850732,1095.4747762788895,6.74250709853363,5.451240783166329,778.4504172761139,0.0926726687233469,0.4633633436167345
77,CARNEGIE,655000,94,400.9472512611688,400.9472512611688,402.95216340265495,408.75657397817247,418.0859656823207,428.1711321745375,438.5053559922768,445.00922924891,420.3468102485773,4.615131723239756,589.2946705789518,589.2946705789518,590.9930762209995,588.4799803389931,582.1472703780361,583.7353222390376,598.825952736524,613.5951426646094,592.4387735938788,0.53070513866843,763.0436660130721,763.0436660130721,763.7644341500204,762.4344244060131,748.0712157334904,752.0882258217728,779.9678752094941,803.1607230972664,767.5043663473042,0.5811954341655952,1.909010765357927,593.4299833965867,0.09059999746512774,0.45299998732563873
163,FRANKSTON,558000,110,342.12818278121404,342.12818278121404,346.39949586089915,355.6308675276195,366.44825768807607,376.9177247004409,387.129767743871,393.4425308478233,366.87097530713487,6.74427637814815,456.2109221714169,456.2109221714169,465.5273054285421,484.1600719427926,509.00376062846,533.8474493141274,558.6911379997949,574.2184434283372,511.66558441621015,10.838067662507497,557.956127965075,557.956127965075,569.8903199126875,593.7587038079124,625.5832156682123,657.4077275285123,689.2322393888121,709.1225593014997,628.9929847961015,11.293743896691359,9.625362645782337,502.50984817314884,0.09005552834644244,0.4502776417322122
