stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"37817","37817","Dawson St/Gibsons Rd","-38.09515387","147.08454244","","","0","Level 0",""
"37821","37821","Dawson St/Buckley St","-38.09537433","147.07856666","","","0","Level 0",""
"37823","37823","Cedar St/Raglan St","-38.09946812","147.07550302","","","0","Level 0",""
"37825","37825","Mathieson St/McCole St","-38.09483673","147.07368493","","","0","Level 0",""
"37827","37827","Sale Catholic College/Raglan St","-38.09827514","147.06602415","","","0","Level 0",""
"37828","37828","Macarthur St/Raymond St","-38.10457531","147.06555076","","","0","Level 0",""
"37836","37836","Gippsland Grammar/York St","-38.09500215","147.06840477","","","0","Level 0",""
"37841","37841","Sale Hospital/Guthridge Pde","-38.10920681","147.08161568","","","0","Level 0",""
"37844","37844","Marley St/Macarthur St","-38.10497811","147.07035311","","","0","Level 0",""
"37845","37845","Charvel Rd/Longford-Loch Sport Rd ","-38.16545890","147.09987476","","","0","Level 0",""
"37849","37849","Golden Beach Community Hall/Longford-Golden Beach Rd","-38.21050649","147.39951599","","","0","Level 0",""
"37850","37850","National Park Ent/National Park Rd","-38.02703007","147.61409095","","","0","Level 0",""
"37851","37851","Camerons Rd/National Park Rd","-38.04253608","147.59041356","","","0","Level 0",""
"37852","37852","Brennans Rd/South Gippsland Hwy","-38.15681039","147.08370044","","","0","Level 0",""
"37853","37853","Niel St/McFarlane St","-37.96234122","147.08349061","","","0","Level 0",""
"37854","37854","Dawson St/McFarlane St","-37.96397278","147.08317370","","","0","Level 0",""
"37855","37855","Stratford Post Office/Hobson St","-37.96629074","147.08084246","","","0","Level 0",""
"37856","37856","Service St/Princes Hwy","-37.82608696","147.62961405","","","0","Level 0",""
"37857","37857","Bailey","-37.82551387","147.63227944","","","0","Level 0",""
"37858","37858","Bailey","-37.82612083","147.63170511","","","0","Level 0",""
"37859","37859","RSPCA/Princes Hwy","-37.82987097","147.61453275","","","0","Level 0",""
"37860","37860","Bairnsdale Hospital/Princes Hwy","-37.83187501","147.60871974","","","0","Level 0",""
"37861","37861","Medical Centre/Morrison St","-37.82898239","147.61382085","","","0","Level 0",""
"37862","37862","Hodgson St/Anderson St","-37.82787663","147.61500483","","","0","Level 0",""
"37863","37863","Wallace St/Dawson St","-37.82610748","147.61550147","","","0","Level 0",""
"37864","37864","Pearson St/McCulloch St","-37.82429064","147.62334933","","","0","Level 0",""
