Year,Net Overseas Migration,Net Interstate Migration,Population,Change in Population,Percentage - Females - 0 to 14,Percentage - Females - 15 to 29,Percentage - Females - 30 to 44,Percentage - Females - 45 to 59,Percentage - Females - 60 to 74,Percentage - Females - 75 and over,Percentage - Males - 0 to 14,Percentage - Males - 15 to 29,Percentage - Males - 30 to 44,Percentage - Males - 45 to 59,Percentage - Males - 60 to 74,Percentage - Males - 75 and over,Percentage - Persons - 0 to 14,Percentage - Persons - 15 to 29,Percentage - Persons - 30 to 44,Percentage - Persons - 45 to 59,Percentage - Persons - 60 to 74,Percentage - Persons - 75 and over
2027,82580,3600,7304715,123089,0.08,0.1,0.11,0.09,0.07,0.05,0.09,0.1,0.11,0.09,0.07,0.04,0.17,0.2,0.22,0.18,0.14,0.08
2028,82670,5100,7429320,124604,0.08,0.1,0.11,0.09,0.07,0.05,0.09,0.1,0.11,0.09,0.07,0.04,0.17,0.2,0.22,0.18,0.14,0.08
2029,82750,5100,7553747,124427,0.08,0.1,0.11,0.09,0.07,0.05,0.09,0.11,0.11,0.09,0.07,0.04,0.17,0.21,0.22,0.18,0.14,0.09
2030,82830,5100,7678087,124339,0.08,0.1,0.11,0.09,0.07,0.05,0.09,0.11,0.11,0.09,0.07,0.04,0.17,0.21,0.22,0.18,0.14,0.09
2031,82910,5100,7802503,124415,0.08,0.1,0.11,0.09,0.07,0.05,0.09,0.11,0.11,0.09,0.07,0.04,0.17,0.21,0.22,0.18,0.14,0.09
2032,82992,5100,7927018,124515,0.08,0.1,0.11,0.09,0.07,0.05,0.08,0.11,0.11,0.09,0.07,0.04,0.17,0.21,0.22,0.18,0.14,0.09
2033,83075,5100,8051678,124659,0.08,0.1,0.11,0.09,0.07,0.05,0.08,0.1,0.11,0.09,0.07,0.04,0.16,0.21,0.22,0.18,0.14,0.09
2034,83158,5100,8176540,124861,0.08,0.1,0.11,0.09,0.07,0.05,0.08,0.1,0.11,0.09,0.07,0.04,0.16,0.21,0.22,0.18,0.14,0.09
2035,83241,5100,8301665,125125,0.08,0.1,0.11,0.09,0.07,0.05,0.08,0.1,0.11,0.09,0.07,0.04,0.16,0.2,0.22,0.18,0.14,0.09
2036,83323,5100,8427079,125413,0.08,0.1,0.11,0.09,0.07,0.05,0.08,0.1,0.11,0.09,0.07,0.04,0.16,0.2,0.22,0.18,0.14,0.1
2037,83112,5100,8552696,125617,0.08,0.1,0.11,0.09,0.07,0.05,0.08,0.1,0.11,0.09,0.06,0.04,0.16,0.2,0.22,0.18,0.14,0.1
2038,82899,5100,8678573,125877,0.08,0.1,0.11,0.09,0.07,0.05,0.08,0.1,0.11,0.09,0.06,0.04,0.16,0.2,0.22,0.18,0.13,0.1
2039,82685,5100,8804717,126144,0.08,0.1,0.11,0.09,0.07,0.06,0.08,0.1,0.11,0.09,0.06,0.04,0.16,0.2,0.22,0.18,0.13,0.1
2040,82470,5100,8931109,126391,0.08,0.1,0.11,0.09,0.07,0.06,0.08,0.1,0.11,0.09,0.06,0.04,0.16,0.2,0.22,0.19,0.13,0.1
2041,82550,5100,9057947,126838,0.08,0.1,0.11,0.09,0.07,0.06,0.08,0.1,0.11,0.09,0.06,0.04,0.16,0.19,0.22,0.19,0.13,0.1
2042,82631,5100,9185141,127193,0.08,0.09,0.11,0.09,0.07,0.06,0.08,0.1,0.11,0.09,0.06,0.04,0.16,0.19,0.22,0.19,0.13,0.1
2043,82711,5100,9312585,127444,0.08,0.09,0.11,0.09,0.07,0.06,0.08,0.1,0.11,0.09,0.06,0.04,0.16,0.19,0.22,0.19,0.13,0.1
2044,82792,5100,9440168,127582,0.08,0.09,0.11,0.09,0.07,0.06,0.08,0.1,0.11,0.09,0.06,0.04,0.16,0.19,0.22,0.19,0.14,0.1
2045,82873,5100,9567755,127586,0.08,0.09,0.11,0.09,0.07,0.06,0.08,0.1,0.11,0.09,0.07,0.04,0.16,0.19,0.22,0.19,0.14,0.1
2046,82953,5100,9695238,127483,0.08,0.09,0.11,0.09,0.07,0.06,0.08,0.1,0.11,0.09,0.07,0.05,0.16,0.19,0.22,0.19,0.14,0.1
2047,83034,5100,9822516,127278,0.08,0.09,0.11,0.09,0.07,0.06,0.08,0.1,0.11,0.09,0.07,0.05,0.16,0.19,0.22,0.19,0.14,0.1
2048,83115,5100,9949488,126971,0.08,0.09,0.11,0.09,0.07,0.06,0.08,0.09,0.11,0.09,0.07,0.05,0.16,0.19,0.22,0.19,0.14,0.1
2049,83195,5100,10076121,126632,0.08,0.09,0.11,0.09,0.07,0.06,0.08,0.09,0.11,0.09,0.07,0.05,0.16,0.19,0.22,0.19,0.14,0.1
2050,83276,5100,10202395,126273,0.08,0.09,0.11,0.09,0.07,0.06,0.08,0.09,0.11,0.09,0.07,0.05,0.16,0.19,0.22,0.19,0.14,0.1
2051,83357,5100,10328325,125930,0.08,0.09,0.11,0.09,0.07,0.06,0.08,0.09,0.11,0.09,0.07,0.05,0.16,0.18,0.22,0.19,0.14,0.1
