,SA2_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,Owner occupied (%),Mortgage (%),Total rented (%),Other tenure (%),Unemployment,post_gradutae (%),Graduate_diploma_certificate(%),Bachelor (%),Advanced_&_Diploma (%),Certificate_level (%),Total_persons
258,209041531,34,1900,855,378,2103,0.8,1897,2.9,0.1593149974052932,0.5189413596263622,0.2758173326414115,0.03788271925272444,0.05831608005521049,0.12087709600147412,0.040353786622443336,0.28247650635710336,0.18057858853878755,0.29205822738161047,5427
259,209041532,32,1950,902,390,2173,0.8,2109,3.2,0.12564590698939354,0.5849877617623063,0.2697851509382649,0.005711177590426979,0.056215360253365,0.12186192468619247,0.03329846582984658,0.2712691771269177,0.19055090655509066,0.29497907949790797,5736
260,210011226,39,2085,883,401,2292,0.8,1761,2.3,0.3798720186154741,0.3179173938336242,0.27981384525887143,0.011343804537521814,0.043627227044312475,0.08422590068159688,0.045764362220058426,0.29698149951314506,0.16601752677702045,0.3140214216163583,4108
262,210011228,45,2019,760,396,2232,0.8,1820,2.6,0.48236415633937085,0.3447727994915793,0.11916110581506197,0.03686050206545917,0.04017013232514178,0.06408053032163025,0.04051068008838694,0.2794009329732384,0.16302479744659956,0.3427449054750798,4073
263,210011230,40,2400,982,435,2758,0.8,2239,2.6,0.3700900900900901,0.369009009009009,0.23783783783783785,0.011891891891891892,0.041656748393239705,0.10868461147790756,0.05256475368207212,0.3291010665312341,0.1632808532249873,0.24454037582529203,3938
264,210011231,41,2500,994,450,2956,0.8,2440,2.8,0.4195136074116966,0.3920092646207296,0.1673422119281992,0.008396062536189925,0.042958129418162044,0.11499714883102072,0.05930431476905531,0.3628587720965596,0.1649876449344231,0.22201102452005322,5261
265,210011533,45,2167,666,400,2039,0.8,1587,2.6,0.4709418837675351,0.28746381652193276,0.19750612335782677,0.026720106880427523,0.05342973020631282,0.09075194468452895,0.037856525496974935,0.3341400172860847,0.1453759723422645,0.2601555747623163,5785
266,210011534,43,2167,759,408,2257,0.8,1913,2.6,0.45988617587662933,0.3247659261979071,0.18689186708279787,0.012116761520102808,0.04460254480777124,0.08593421973407978,0.04660601819454164,0.3196641007697691,0.15871238628411477,0.28299510146955914,7145
267,210021232,40,2167,944,430,2656,0.8,2311,2.8,0.3627554244786181,0.4763008215715189,0.13987781756899095,0.01158626500947967,0.032,0.07420154185022027,0.06360132158590308,0.2588105726872247,0.1797907488986784,0.32158590308370044,7264
268,210021233,46,2492,991,361,2860,0.8,2457,2.7,0.4360033030553262,0.44921552436003304,0.08340214698596202,0.01568951279933939,0.025,0.1376597836774828,0.06833824975417896,0.308259587020649,0.1504424778761062,0.21779744346116028,2034
269,210021234,42,2000,882,400,2393,0.8,2156,2.8,0.37876802096985585,0.48230668414154654,0.1127129750982962,0.01310615989515072,0.03007518796992481,0.07235466332078629,0.057298201589293184,0.22250104558762024,0.17105813467168549,0.3810121288163948,2391
270,210021235,41,1928,837,365,2237,0.8,2004,2.7,0.3483957219251337,0.5122994652406417,0.10401069518716577,0.015775401069518715,0.030494406351497656,0.050073637702503684,0.04491899852724595,0.2106038291605302,0.16476435935198822,0.39837997054491897,5432
271,210031236,38,2167,882,401,2380,0.9,1980,2.5,0.2971318079278118,0.3686754753464389,0.308733483725427,0.009990331936835321,0.051002227171492207,0.16352201257861634,0.0633268271524615,0.3298633702016916,0.14400346996313165,0.17566688353936238,4611
272,210031237,35,1880,594,380,1691,0.9,1436,2.8,0.36142484795829716,0.2977845351867941,0.3062554300608167,0.014769765421372719,0.07809903622465936,0.1513931389917861,0.03672088903205025,0.2911902077629248,0.13834755999355774,0.22241906909325174,6209
273,210031439,40,2000,923,423,2577,0.8,2162,2.7,0.2994652406417112,0.47237076648841353,0.14260249554367202,0.0784313725490196,0.046539379474940336,0.09308510638297872,0.043882978723404256,0.30518617021276595,0.1908244680851064,0.28191489361702127,1504
274,210031440,36,2000,684,376,1864,0.8,1538,2.5,0.3738680465717982,0.32729624838292365,0.2669253988788271,0.0129366106080207,0.061087570621468926,0.10163468372423597,0.04442075337597726,0.27007818052594174,0.14818763326226012,0.27434257285003555,2814
275,210031535,34,1885,703,369,1830,0.9,1526,2.6,0.2836153989213316,0.3156034963734424,0.3676771433885066,0.01655198065835968,0.06733668341708543,0.1357990992220554,0.0367135253173195,0.2853828306264501,0.1550429916746281,0.22437559710659205,7327
276,210031536,33,1980,850,369,2102,0.9,1869,2.6,0.24968553459119497,0.3380503144654088,0.39025157232704405,0.00880503144654088,0.045875420875420875,0.15653040877367896,0.03988035892323031,0.3064805583250249,0.14536390827517448,0.18943170488534397,5015
277,210031537,36,2167,1011,401,2623,0.9,2204,2.5,0.2863756613756614,0.3687169312169312,0.32572751322751325,0.008267195767195767,0.04677980852915579,0.1561888187948662,0.04894496410702632,0.35740700456819663,0.15140308897106808,0.18577333043289102,4597
278,210031538,36,2100,971,400,2470,0.9,2003,2.4,0.29018513076697033,0.34028798119306497,0.34543050249779605,0.010431971789597413,0.04770775121597848,0.1324808720259931,0.052929462320511475,0.3504873702966146,0.1477832512315271,0.2141284980609999,9541
279,210041240,39,1789,850,371,2315,0.8,2106,2.8,0.33533705452984114,0.5064405324173465,0.1369686560755689,0.008587376556462,0.044477693144722524,0.05576043664257265,0.03894379702020947,0.20858533707036436,0.18483552146334267,0.4118601563652456,6779
280,210041539,32,1800,994,396,2241,0.7,2009,2.6,0.17796171753750648,0.5933781686497672,0.20796689084324885,0.005690636316606311,0.04157043879907621,0.07198515769944341,0.03599257884972171,0.24267161410018553,0.17884972170686456,0.35695732838589983,2695
281,210041540,38,1800,828,351,2169,0.7,1727,2.5,0.3022121581605992,0.4215293502874064,0.25448528130987635,0.010276955234279742,0.04696774193548387,0.058502659211782354,0.04582026455747989,0.21778262648302196,0.17768989499522705,0.37910814127914905,7333
282,210041541,36,1733,883,376,2231,0.8,1987,2.7,0.2955738934733683,0.48337084271067765,0.2040510127531883,0.007251812953238309,0.045410783055198974,0.05107381339108464,0.04493773687060097,0.1997834325933947,0.1781266919328641,0.4255549539794261,5541
283,210051242,33,1419,492,331,1280,1.0,1172,2.8,0.22607298599954098,0.25430341978425525,0.48060592150562315,0.01606610052788616,0.11985829561110017,0.11350160935117737,0.022361511096052854,0.2176859224123327,0.14484160596306964,0.22598678637980688,5903
284,210051243,34,1500,437,330,1245,1.0,1104,3.0,0.3430089942763696,0.31295993458708093,0.29517579721995096,0.02105478331970564,0.1284137129575828,0.07529843893480258,0.023140495867768594,0.19889807162534434,0.16271808999081727,0.28411386593204774,5445
285,210051245,41,1900,678,371,1936,0.8,1600,2.6,0.3915847665847666,0.38175675675675674,0.20147420147420148,0.008445945945945946,0.06722785977859778,0.05199004975124378,0.03034825870646766,0.22524875621890547,0.17898009950248756,0.3742537313432836,8040
286,210051246,35,2167,793,430,2315,0.8,2250,3.2,0.3225416036308623,0.5325264750378215,0.12148260211800302,0.008018154311649017,0.05901810584958217,0.07968327152450637,0.03337676656309512,0.29197153452941765,0.18452440613410845,0.3036985065650997,9977
287,210051247,34,1460,442,346,1342,1.0,1274,3.3,0.2669172932330827,0.3855733082706767,0.30545112781954886,0.013157894736842105,0.12264338162333796,0.06564082586677054,0.031554343591741335,0.21542656797818466,0.16458901441371251,0.2902220490845345,5134
288,210051248,38,985,866,250,3499,0.7,1437,2.8,0.4782608695652174,0.391304347826087,0.0,0.0,0.09090909090909091,0.08045977011494253,0.0,0.1724137931034483,0.05747126436781609,0.14942528735632185,87
289,210051250,40,1733,725,351,1794,0.8,1404,2.3,0.31985428051001824,0.3100182149362477,0.33588342440801455,0.014571948998178506,0.06084002470660902,0.0603983023179889,0.031341821743388835,0.2295135488083578,0.16682990532158015,0.35520731309174014,3063
290,210051441,34,1517,654,350,1664,0.9,1523,3.0,0.2786127167630058,0.4208092485549133,0.27090558766859346,0.011175337186897881,0.07921318447634237,0.08559373116335142,0.026823387582881254,0.18746232670283303,0.17600964436407474,0.3743218806509946,3318
291,210051442,32,1842,742,371,2027,1.0,1958,3.4,0.14667424673109722,0.5619670267197271,0.2717453098351336,0.005969300739056282,0.0755717600265164,0.12106947844097157,0.03200903784598004,0.25230653360948974,0.19148936170212766,0.28205610996045943,5311
292,210051443,32,1900,676,375,1885,0.9,1835,3.3,0.1727258038455324,0.5459686540636614,0.25723057036677976,0.007109387623202456,0.07629563314433502,0.11113553918874354,0.02902055622732769,0.26195449049137076,0.18159832911948995,0.2840496867099044,9097
293,210051445,30,2000,874,400,1984,0.8,1982,3.3,0.08053790453672233,0.6769617260233486,0.2218117334121472,0.006354366779961578,0.05992313067784766,0.11954424331526234,0.032160249931085176,0.2600385922999173,0.1965450702931177,0.2654598915740145,10883
294,210051542,30,1907,769,396,1845,1.0,1876,3.4,0.06162665711214618,0.6098172697957721,0.30490863489788606,0.006091006807595844,0.06920035149384886,0.1457286432160804,0.0269529465509365,0.30242119689355873,0.20831429876656007,0.2153951576062129,4378
295,210051543,31,1900,689,381,1798,1.0,1752,3.3,0.09889240506329114,0.517668776371308,0.33175105485232065,0.0334915611814346,0.08798469831333681,0.1469017094017094,0.030448717948717948,0.2829415954415954,0.1883903133903134,0.2142094017094017,5616
296,210051544,34,1647,517,375,1705,1.0,1642,3.4,0.25102880658436216,0.49120838009726897,0.22745978301533856,0.012345679012345678,0.09566265060240964,0.08880714661061481,0.032842879663688915,0.2811350499211771,0.17341040462427745,0.2858644245927483,3806
297,210051545,30,1750,446,395,1590,1.0,1619,3.8,0.16909140818007137,0.5676640131759538,0.221795223716717,0.018665934669228657,0.1145947928126146,0.08684316085038107,0.031287605294825514,0.26594464500601683,0.18852787805856397,0.2743682310469314,4986
298,211011251,38,1827,786,376,1975,0.8,1610,2.4,0.27462387161484453,0.358876629889669,0.33380140421263793,0.014844533600802408,0.04403834631515878,0.10467037092656555,0.034840066075987386,0.28022225559393305,0.16323772338188916,0.3016969514942183,6659
299,211011254,39,2117,791,425,2178,0.8,1953,2.8,0.3262995367987648,0.4132784354091611,0.22919883341911135,0.023160061760164694,0.04719531425996846,0.1288934194132971,0.04054819345339223,0.33503227998640844,0.16298561558500396,0.2505379997734738,8829
300,211011255,41,2200,944,435,2886,0.8,2756,3.1,0.37721021611001965,0.5299607072691552,0.07416502946954813,0.0063850687622789785,0.03421383647798742,0.07641594246329038,0.0386574767755469,0.3146538807311957,0.18070122864848667,0.3185495954450105,3337
301,211011256,41,2000,832,425,2305,0.8,2083,2.8,0.3687719948138544,0.41785515836265974,0.18836821633635858,0.014817558807186515,0.04459849797804737,0.11309449506927974,0.03907127699413307,0.3116964174260392,0.18000249656722006,0.28161278242416676,8011
302,211011257,41,2156,852,450,2515,0.8,2285,3.0,0.31871902401829966,0.48989706443004194,0.12619138391155166,0.05108654212733511,0.042740841248303935,0.1089952392883989,0.034828363818591834,0.3071911801553495,0.19443748433976446,0.2813831120020045,3991
303,211011258,42,2062,843,471,2509,0.8,2363,3.0,0.3778950454412196,0.4737613603048959,0.11228378774552918,0.026678393433010848,0.04484828276092031,0.10590440487347703,0.03673851921274602,0.32577319587628867,0.1823805060918463,0.27085285848172447,5335
304,211011259,41,2167,762,427,2106,0.8,1883,2.8,0.3866720680575248,0.37249341705489164,0.19728580109378166,0.030990480048612518,0.04595588235294118,0.12351856728996576,0.04464050566236503,0.32288648933368447,0.17026599947326837,0.23729259942059522,7594
305,211011260,44,2100,723,426,2151,0.8,1821,2.7,0.39288512772292744,0.32863187588152326,0.20623726688606803,0.05500705218617771,0.04917319408181027,0.14129322692858604,0.043994270513607533,0.34591774094536526,0.15930018416206262,0.2175158583998363,9774
306,211011446,39,1869,796,376,1997,0.8,1609,2.4,0.2992125984251969,0.39607377844892677,0.282385934634883,0.009491964189407832,0.04354904354904355,0.08632341110217216,0.04336283185840708,0.25583266291230894,0.16910699919549477,0.33161705551086085,12430
307,211011447,41,1889,775,370,2071,0.8,1606,2.4,0.3365765765765766,0.39855855855855854,0.23225225225225224,0.021981981981981983,0.04465992898115269,0.08107001501296575,0.0402620444929712,0.25344615804558485,0.17565169919475912,0.3547154360584141,7327
308,211011448,39,1950,806,405,2229,0.8,1960,2.7,0.3467345824995452,0.4571584500636711,0.17973440058213572,0.006730944151355285,0.042906246296076804,0.08254656800204134,0.04197499362082164,0.25618780301097216,0.1814238326103598,0.34715488645062514,7838
309,211011449,39,1950,840,366,2291,0.8,2049,2.7,0.3644179894179894,0.5271164021164021,0.09656084656084656,0.006613756613756613,0.036544850498338874,0.06458897922312556,0.04290876242095754,0.23215898825654924,0.1946702800361337,0.3852755194218609,2214
310,211021261,45,2582,826,451,2717,0.8,2284,2.9,0.44918213563683146,0.38779636096305825,0.12663113398272377,0.02444403602278993,0.048792154986845256,0.1285634432643935,0.05835662381218558,0.3767467859139184,0.15371716042481834,0.19407490217998882,8945
311,211021262,46,2300,930,481,3051,0.8,2779,3.0,0.4486098094345517,0.46360512339893784,0.06622930334270541,0.014682911590128085,0.033035714285714286,0.10354223433242507,0.05449591280653951,0.3362397820163488,0.17184377838328793,0.2681198910081744,5505
312,211031263,39,1849,838,361,2187,0.8,1800,2.6,0.30731932579081045,0.4680212422073424,0.20387901177557147,0.007850380974370815,0.037515375153751536,0.06827574805753017,0.043974210613324516,0.23789056042321044,0.17374772689700776,0.3585716647379732,6049
313,211031265,41,2167,913,431,2674,0.8,2377,2.9,0.37095191364082436,0.4842983316977429,0.13313706247955512,0.0062152437029767745,0.03501072752096743,0.09315411065958112,0.05824736896946962,0.30790872147546106,0.180368865270397,0.28790246952172555,9597
314,211031266,38,2000,822,381,2157,0.9,1660,2.4,0.26472962066182404,0.31894000538068334,0.3875437180521926,0.012510088781275222,0.045280740591668346,0.13940682059704376,0.048304511641387306,0.315911506134673,0.1648149937204135,0.2340836634141629,10351
315,211031267,39,2100,879,385,2404,0.8,1945,2.6,0.34376596831885536,0.3910321921308125,0.248978027593255,0.008175779253960144,0.04141801015409281,0.13008200258955546,0.06283987915407856,0.32179542511868797,0.1607250755287009,0.23798014674147605,11585
316,211031268,43,2200,880,436,2639,0.8,2330,2.8,0.42492492492492495,0.4369369369369369,0.12102102102102102,0.0075075075075075074,0.03773946360153257,0.10757806549885758,0.06073876618431074,0.3452018278750952,0.17955064737242954,0.24238385376999239,5252
317,211031450,38,1885,827,371,2037,0.8,1566,2.3,0.2889192056995604,0.387752008488707,0.2995300894345915,0.01273306048203729,0.042040623523854515,0.09198141308233052,0.045871559633027525,0.26402954843321813,0.16883116883116883,0.3286071726438699,8393
318,211031451,41,2078,805,399,2221,0.8,1695,2.5,0.3554817275747508,0.37799926172019194,0.2144702842377261,0.041159099298634184,0.04188556013062615,0.1023696682464455,0.052674339878131346,0.2888287068381855,0.17197020988490183,0.28259986459038594,7385
319,211031452,38,2000,844,410,2228,0.8,1888,2.6,0.33296521258972944,0.4632799558255108,0.19050248481501933,0.0033130866924351186,0.03493788819875776,0.0826946349334409,0.05970149253731343,0.2876159741831384,0.18152480839048002,0.3190802743041549,2479
