StopName,StopType,Latitude,Longitude
204 Hyde St,Metro Bus,-37.81787818,144.89648743
2057 Western Fwy,Metro Bus,-37.72897598,144.6602958
206 Morris Rd,Metro Bus,-37.86655871,144.70364581
206 Plenty River Dr,Metro Bus,-37.68268363,145.11094244
207 The Boulevard,Metro Bus,-37.676036,145.03235367
21 Warrandyte Rd,Metro Bus,-37.74549227,145.20394271
212 Old Geelong Rd,Metro Bus,-37.87533589,144.71754961
212 Swansea Rd,Metro Bus,-37.78878532,145.36148279
214 Swansea Rd,Metro Bus,-37.78832267,145.36126588
2190 Plenty Rd,Metro Bus,-37.53657553,145.11139881
2195 Plenty Rd,Metro Bus,-37.53679623,145.11111031
22 Stackpoole St,Metro Bus,-37.98041838,145.18231357
22-Albert St/Sydney Rd,Metro Bus,-37.76894706,144.96172115
221 Dohertys Rd,Metro Bus,-37.82722256,144.77440696
225 Yea Rd,Metro Bus,-37.50085293,145.14395033
226 Hammond Rd,Metro Bus,-38.01776793,145.20490268
227-243 Wellington Rd,Metro Bus,-37.91763513,145.15238363
23 Finsbury Rd,Metro Bus,-38.1594432,145.31073943
23 James St,Metro Bus,-37.7099343,144.97355977
23 Kalinda Rd,Metro Bus,-37.79269636,145.25601734
23 Matthew Flinders Ave,Metro Bus,-37.98600499,145.25605039
23-Victoria St/Sydney Rd,Metro Bus,-37.76714106,144.96203185
230 Yea Rd,Metro Bus,-37.50100804,145.14407093
231 Plenty River Dr,Metro Bus,-37.68259071,145.11133034
236 Elizabeth Dr,Metro Bus,-37.56302983,144.72486364
24 James St,Metro Bus,-37.7098546,144.97364134
24 Mayne St,Metro Bus,-37.79223526,144.82235681
24-Mooltan St/Mt Alexander Rd,Metro Bus,-37.784077025,144.9370857
25 Church Rd,Metro Bus,-38.07964621,145.12832768
25 Hutton Ave,Metro Bus,-37.87207393,145.29468865
25 Mount Pleasant Rd,Metro Bus,-37.82277857,145.17861003
25 Smith St,Metro Bus,-37.76785974,144.94633453
25-Mount Alexander College/Mt Alexander Rd,Metro Bus,-37.782502785,144.93390478
252 Williamsons Rd,Metro Bus,-37.76032844,145.13391944
26 Church Rd,Metro Bus,-38.07962602,145.12819139
26 Hutton Ave,Metro Bus,-37.87209311,145.29476779
26 Kalinda Rd,Metro Bus,-37.79250835,145.25610125
26-Wellington St/Mt Alexander Rd,Metro Bus,-37.781277605,144.93264450499998
27 Mundara Dr,Metro Bus,-37.78755612,145.25275414
27 Research-Warrandyte Rd,Metro Bus,-37.70981789,145.18777717
27-Essendon Tram Depot/Mt Alexander Rd,Metro Bus,-37.779622265,144.93126568
271 Narre Warren North Rd,Metro Bus,-37.99940239,145.31201518
274 Essex St,Metro Bus,-37.79224051,144.86596323
279 Monbulk Rd,Metro Bus,-37.827236825,145.422579105
28-Middle St/Mt Alexander Rd,Metro Bus,-37.7775779,144.92980126999998
281 High Street Rd,Metro Bus,-37.86829251,145.11528372
282 Ferntree Gully Rd,Metro Bus,-37.90022275,145.1328823
283 High Street Rd,Metro Bus,-37.86839396,145.11542892
29 Fairholm Gr,Metro Bus,-37.83039044,145.05938096
29 Sages Rd,Metro Bus,-37.70189089,144.95865958
29-Warrick St/Mt Alexander Rd,Metro Bus,-37.775644605,144.92850413999997
30 Jumping Creek Rd,Metro Bus,-37.73603115,145.27770611
30-Maribyrnong Rd/Mt Alexander Rd,Metro Bus,-37.77300833,144.92694856
30-Ormond Rd/Mt Alexander Rd,Metro Bus,-37.77243086,144.92690792
306 Sunshine Ave,Metro Bus,-37.72812029,144.81471716
31 Finsbury Rd,Metro Bus,-38.15900621,145.30730268
31 Rochester Rd,Metro Bus,-37.82072022,145.08190114
32 Barcelona St,Metro Bus,-37.82264926,145.13181691
33 Belair Ave,Metro Bus,-37.70398474,144.90998798
33-South Daly St/Dawson St,Metro Bus,-37.76952791,144.94535746
330 Dynon Rd,Metro Bus,-37.80203795,144.91969738
3313 Maroondah Hwy,Metro Bus,-37.3238732,145.71235943
3321 Maroondah Hwy,Metro Bus,-37.32356398,145.71210513
34-Moonee Valley Civic Centre/Pascoe Vale Rd,Metro Bus,-37.76431271,144.92545458
34-Smith St/Melville Rd,Metro Bus,-37.76731147,144.94331864
3403 Warburton Hwy,Metro Bus,-37.75371908,145.68921241
35 Research-Warrandyte Rd,Metro Bus,-37.71094812,145.19153855
35-Queens Park/Pascoe Vale Rd,Metro Bus,-37.762613814999995,144.9257007
35-Victoria St/Melville Rd,Metro Bus,-37.76470803,144.94389025
351 Hammond Rd,Metro Bus,-38.01830843,145.20488949
355 Kangaroo Ground-Warrandyte Rd,Metro Bus,-37.70157806,145.22611181
36-Hope St/Melville Rd,Metro Bus,-37.76210122,144.94426893500003
36-Murray St/Pascoe Vale Rd,Metro Bus,-37.75986286,144.92607836
36-Salisbury St/Pascoe Vale Rd,Metro Bus,-37.75974036,144.9262861
360 Kangaroo Ground-Warrandyte Rd,Metro Bus,-37.6978883,145.22406744
37 Lightwood Cres,Metro Bus,-37.64822762,144.9119828
